PARTY,UCC,SYMBOL,SETCOD,TYP,TOTSALE,DELVSALE,EPI,SALEPENDING,TOTBUY,DELVBUY,SALEVAL,BUYVAL,NETVAL,AVGRATE,NATURE,MINMARGIN
EJU0010,EJU0010,VBL,N2022147  ,EQ,5,5,5,0,0,0,4645,0,4645,0,R,0
EJU0010,EJU0010,PVR,N2022147  ,EQ,0,0,0,0,4,4,0,8660,-8660,2165,R,1732
EJU0010,EJU0010,HINDUNILVR,N2022147  ,EQ,0,0,0,0,4,4,0,10470.4,-10470.40,2617.60,R,2094.08
EJU0010,EJU0010,LIQUIDBEES,N2022147  ,EQ,0,0,0,0,108,108,0,108001.08,-108001.08,1000.01,R,21600.2160
EJU0010,EJU0010,SCHAEFFLER,N2022147  ,EQ,5,5,5,0,0,0,14189.75,0,14189.75,0,R,0
EJU0010,EJU0010,TVSMOTOR,N2022147  ,EQ,9,9,9,0,0,0,8303.4,0,8303.40,0,R,0
EJU0010,EJU0010,EICHERMOT,N2022147  ,EQ,0,0,0,0,2,2,0,6170,-6170,3085,R,1234
EJU0011,EJU0011,LIQUIDBEES,N2022147  ,EQ,0,0,0,0,18,18,0,18000.18,-18000.18,1000.01,R,3600.0360
EJU0012,EJU0012,LIQUIDBEES,N2022147  ,EQ,0,0,0,0,16,16,0,16000.16,-16000.16,1000.01,R,3200.0320
EJU0013,EJU0013,ASHOKLEY,N2022147  ,EQ,0,0,0,0,50,50,0,7337.5,-7337.50,146.75,R,1467.50
EJU0013,EJU0013,TORNTPHARM,N2022147  ,EQ,0,0,0,0,2,2,0,3024.2,-3024.20,1512.10,R,604.84
EJU0013,EJU0013,SRF,N2022147  ,EQ,0,0,0,0,2,2,0,4849.4,-4849.40,2424.70,R,969.88
EJU0013,EJU0013,EICHERMOT,N2022147  ,EQ,0,0,0,0,9,9,0,27809.85,-27809.85,3089.98,R,5561.97
EJU0013,EJU0013,ADANIENT,N2022147  ,EQ,0,0,0,0,2,2,0,5361.9,-5361.90,2680.95,R,1072.38
EJU0013,EJU0013,CHOLAFIN,N2022147  ,EQ,0,0,0,0,8,8,0,5964.4,-5964.40,745.55,R,1192.88
EJU0013,EJU0013,SBILIFE,N2022147  ,EQ,0,0,0,0,6,6,0,7621.8,-7621.80,1270.30,R,1524.36
EJU0013,EJU0013,BEL,N2022147  ,EQ,0,0,0,0,78,78,0,21491.6,-21491.60,275.53,R,4298.32
EJU0013,EJU0013,LIQUIDETF,N2022147  ,EQ,164,164,164,0,0,0,164000,0,164000,0,R,0
EJU0013,EJU0013,HINDUNILVR,N2022147  ,EQ,0,0,0,0,8,8,0,20828.4,-20828.40,2603.55,R,4165.68
EJU0013,EJU0013,DMART,N2022147  ,EQ,0,0,0,0,1,1,0,4202.2,-4202.20,4202.20,R,840.44
