Date,CM Code,CM Name,CP Code,TM Code,TM Name,End Client,Allocation at BOD,Allocations during the Day,Deallocation during the Day,Allocation at EOD,OWN Collateral at BOD,OWN Collateral added during Day,OWN Collateral reduced during Day,OWN Collateral at EOD,OWN Others Collateral at BOD,OWN Others Collateral added during Day,OWN Others Collateral reduced during Day,OWN Others Collateral at EOD,Total Collateral at EOD,Eligible Collateral at EOD,Margin Utilisation
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EJX0034        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132177.88
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ERR0097        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1893.63
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ENL5613        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60100.20
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,DWJ0003        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98023.75
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,FCF0425        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6677.80
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ESC0024        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13109.73
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ESC0042        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196437.38
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ESC0045        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680658.75
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ESC0078        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196437.38
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,EJK0002        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130958.25
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,ESC0104        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196437.38
